family,metric,metric_order,species,fold,model_type,model_label,score,score_name
Cycle consistency,Gene-marginal variance,3,Mouse,3,permuted_mouse,Permuted mouse,-0.00301142926177795,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,4,FlowTransOP,FlowTransOP,0.9477113233183888,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,4,FlowTransOP,FlowTransOP,0.6276328266453365,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,4,permuted_both,Permuted both,-0.00305552888251411,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,4,permuted_both,Permuted both,-0.00373463046683648,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,4,permuted_human,Permuted human,0.9728849456203114,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,4,permuted_human,Permuted human,0.6720038567016264,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,4,permuted_mouse,Permuted mouse,-5.7039105026891e-4,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,4,permuted_mouse,Permuted mouse,8.0273937207123e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,5,FlowTransOP,FlowTransOP,0.9313029624357584,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,5,FlowTransOP,FlowTransOP,0.5547803171204092,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,5,permuted_both,Permuted both,-0.00893728272614658,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,5,permuted_both,Permuted both,9.9706546518962e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,5,permuted_human,Permuted human,0.9659266113575056,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,5,permuted_human,Permuted human,0.6512218509561195,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,5,permuted_mouse,Permuted mouse,-0.00235370349533619,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,5,permuted_mouse,Permuted mouse,-0.00113443958840482,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,6,FlowTransOP,FlowTransOP,0.9267388580717416,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,6,FlowTransOP,FlowTransOP,0.5305789898408153,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,6,permuted_both,Permuted both,0.00226899598969715,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,6,permuted_both,Permuted both,-0.00325294296119566,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,6,permuted_human,Permuted human,0.9640324211025674,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,6,permuted_human,Permuted human,0.6597539469580178,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,6,permuted_mouse,Permuted mouse,0.00298766789585175,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,6,permuted_mouse,Permuted mouse,-0.0088749527588678,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,7,FlowTransOP,FlowTransOP,0.9298449288399472,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Mouse,7,FlowTransOP,FlowTransOP,0.5321521679301133,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Mouse,7,permuted_both,Permuted both,0.0047444488063107,Gene-marginal mean Pearson r
