fold,direction,feature_set,comparison,model_type,model_label,metric,value,lower_better
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9860864285588264,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9851638488948344,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,546.51226806640625,TRUE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.6348901391029358,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,0.00300110271200537,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,0.00281944634994713,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.5952263039290905,FALSE
2,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.5947601208627225,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,383.4609375,TRUE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.7187537550926208,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.00331208482384681,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-6.5691997409085e-4,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.7302594594657421,FALSE
2,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.7248878107070923,FALSE
3,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid distance,129.41432189941406,TRUE
3,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid cosine,0.9721400737762452,FALSE
3,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Pearson,0.8556153178215027,FALSE
3,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Spearman,0.8510984020150738,FALSE
3,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-1 target cosine,0.9331229251265526,FALSE
3,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-k target cosine,0.9308858624219896,FALSE
3,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid distance,129.41432189941406,TRUE
3,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid cosine,0.9721400737762452,FALSE
3,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Pearson,0.8556153178215027,FALSE
3,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Spearman,0.8510984020150738,FALSE
3,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-1 target cosine,0.943579762762785,FALSE
3,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-k target cosine,0.9422263960540296,FALSE
3,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,196.10350036621097,TRUE
3,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9414840936660768,FALSE
3,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.8388858437538147,FALSE
3,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.8543499752677678,FALSE
3,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9841314089357852,FALSE
3,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9834660862267016,FALSE
3,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,174.85003662109375,TRUE
