,itearation,variable,value,sample_size
633,3,x_22,0.9989125070848335,64
634,4,x_22,0.9999388120367947,64
635,5,x_22,0.9999999884776001,64
636,6,x_22,0.9999999874780339,64
637,7,x_22,0.9999386462416653,64
638,8,x_22,0.9999997305737535,64
639,9,x_22,0.9999572314114648,64
640,10,x_22,0.9999327572898629,64
641,11,x_22,0.9999767629828284,64
642,12,x_22,1.00000002658002,64
643,13,x_22,1.0000000184080133,64
644,14,x_22,0.9999974702605847,64
645,15,x_22,0.9999999950734244,64
646,16,x_22,0.9999888395694079,64
647,17,x_22,0.8081195753058195,64
648,18,x_22,0.9999996211830494,64
649,19,x_22,0.9998216469481975,64
650,20,x_22,0.998993819335323,64
651,21,x_22,0.999999963002049,64
652,22,x_22,0.9999999890003655,64
653,23,x_22,0.9999999538424357,64
654,24,x_22,0.9896282621734642,64
655,25,x_22,0.9999965775689464,64
656,26,x_22,0.9999990399179702,64
657,27,x_22,0.9999999298617537,64
658,28,x_22,1.0000000056185747,64
659,29,x_22,0.9999964903253218,64
660,0,x_23,0.9999999900158102,64
661,1,x_23,0.9999999990044974,64
662,2,x_23,1.00000000257964,64
663,3,x_23,0.9999993638900533,64
664,4,x_23,0.9879308056571834,64
665,5,x_23,0.9999999693726269,64
666,6,x_23,0.9999999904489454,64
667,7,x_23,0.999935444299214,64
668,8,x_23,0.9998710623649708,64
669,9,x_23,0.9998946162048001,64
670,10,x_23,0.9999983596583448,64
671,11,x_23,0.9999738041187711,64
672,12,x_23,1.0000000221210774,64
673,13,x_23,0.9999994357445008,64
674,14,x_23,0.999997145486535,64
675,15,x_23,0.9999999721444867,64
676,16,x_23,0.999995429906823,64
677,17,x_23,0.7006120122089708,64
678,18,x_23,0.9999996657842343,64
679,19,x_23,0.9986792378451875,64
680,20,x_23,0.9912616092478347,64
681,21,x_23,0.9999999693060597,64
682,22,x_23,1.0000000208241198,64
683,23,x_23,0.9999999788203155,64
684,24,x_23,0.9895994730517881,64
685,25,x_23,0.9991383017806412,64
686,26,x_23,0.9995393505075798,64
687,27,x_23,0.9999999378151188,64
688,28,x_23,1.0000000149576025,64
689,29,x_23,0.9999977189515614,64
690,0,x_24,1.000000014647763,64
691,1,x_24,0.9999999702117084,64
692,2,x_24,0.999999963330975,64
693,3,x_24,0.9999829291604672,64
